Contact name input ▽,processing,,,,,,,,#1 Frame nodes,
Frame contact No.,X,Y,Z,接点名,３D,X,Y,Z,Top of upper level sandbag with foundation on top,
1146,6.000 ,0.900 ,0.000 ,      1146,        3D,     6.000,     0.900,     0.000,      1146        3D     6.000     0.900     0.000,
1147,6.450 ,0.900 ,0.000 ,      1147,        3D,     6.450,     0.900,     0.000,      1147        3D     6.450     0.900     0.000,
1148,6.900 ,0.900 ,0.000 ,      1148,        3D,     6.900,     0.900,     0.000,      1148        3D     6.900     0.900     0.000,
1149,7.350 ,0.900 ,0.000 ,      1149,        3D,     7.350,     0.900,     0.000,      1149        3D     7.350     0.900     0.000,
1150,7.800 ,0.900 ,0.000 ,      1150,        3D,     7.800,     0.900,     0.000,      1150        3D     7.800     0.900     0.000,
1151,12.000 ,0.900 ,0.000 ,      1151,        3D,    12.000,     0.900,     0.000,      1151        3D    12.000     0.900     0.000,
1152,12.450 ,0.900 ,0.000 ,      1152,        3D,    12.450,     0.900,     0.000,      1152        3D    12.450     0.900     0.000,
1153,12.900 ,0.900 ,0.000 ,      1153,        3D,    12.900,     0.900,     0.000,      1153        3D    12.900     0.900     0.000,
1154,13.350 ,0.900 ,0.000 ,      1154,        3D,    13.350,     0.900,     0.000,      1154        3D    13.350     0.900     0.000,
1155,13.800 ,0.900 ,0.000 ,      1155,        3D,    13.800,     0.900,     0.000,      1155        3D    13.800     0.900     0.000,
1156,18.000 ,0.900 ,0.000 ,      1156,        3D,    18.000,     0.900,     0.000,      1156        3D    18.000     0.900     0.000,
1157,18.450 ,0.900 ,0.000 ,      1157,        3D,    18.450,     0.900,     0.000,      1157        3D    18.450     0.900     0.000,
1158,18.900 ,0.900 ,0.000 ,      1158,        3D,    18.900,     0.900,     0.000,      1158        3D    18.900     0.900     0.000,
1159,19.350 ,0.900 ,0.000 ,      1159,        3D,    19.350,     0.900,     0.000,      1159        3D    19.350     0.900     0.000,
1160,19.800 ,0.900 ,0.000 ,      1160,        3D,    19.800,     0.900,     0.000,      1160        3D    19.800     0.900     0.000,
1161,0.000 ,1.350 ,0.000 ,      1161,        3D,     0.000,     1.350,     0.000,      1161        3D     0.000     1.350     0.000,
1162,0.450 ,1.350 ,0.000 ,      1162,        3D,     0.450,     1.350,     0.000,      1162        3D     0.450     1.350     0.000,
1163,0.900 ,1.350 ,0.000 ,      1163,        3D,     0.900,     1.350,     0.000,      1163        3D     0.900     1.350     0.000,
1164,1.350 ,1.350 ,0.000 ,      1164,        3D,     1.350,     1.350,     0.000,      1164        3D     1.350     1.350     0.000,
1165,1.800 ,1.350 ,0.000 ,      1165,        3D,     1.800,     1.350,     0.000,      1165        3D     1.800     1.350     0.000,
1166,6.000 ,1.350 ,0.000 ,      1166,        3D,     6.000,     1.350,     0.000,      1166        3D     6.000     1.350     0.000,
1167,6.450 ,1.350 ,0.000 ,      1167,        3D,     6.450,     1.350,     0.000,      1167        3D     6.450     1.350     0.000,
1168,6.900 ,1.350 ,0.000 ,      1168,        3D,     6.900,     1.350,     0.000,      1168        3D     6.900     1.350     0.000,
1169,7.350 ,1.350 ,0.000 ,      1169,        3D,     7.350,     1.350,     0.000,      1169        3D     7.350     1.350     0.000,
1170,7.800 ,1.350 ,0.000 ,      1170,        3D,     7.800,     1.350,     0.000,      1170        3D     7.800     1.350     0.000,
1171,12.000 ,1.350 ,0.000 ,      1171,        3D,    12.000,     1.350,     0.000,      1171        3D    12.000     1.350     0.000,
1172,12.450 ,1.350 ,0.000 ,      1172,        3D,    12.450,     1.350,     0.000,      1172        3D    12.450     1.350     0.000,
1173,12.900 ,1.350 ,0.000 ,      1173,        3D,    12.900,     1.350,     0.000,      1173        3D    12.900     1.350     0.000,
1174,13.350 ,1.350 ,0.000 ,      1174,        3D,    13.350,     1.350,     0.000,      1174        3D    13.350     1.350     0.000,
1175,13.800 ,1.350 ,0.000 ,      1175,        3D,    13.800,     1.350,     0.000,      1175        3D    13.800     1.350     0.000,
1176,18.000 ,1.350 ,0.000 ,      1176,        3D,    18.000,     1.350,     0.000,      1176        3D    18.000     1.350     0.000,
1177,18.450 ,1.350 ,0.000 ,      1177,        3D,    18.450,     1.350,     0.000,      1177        3D    18.450     1.350     0.000,
1178,18.900 ,1.350 ,0.000 ,      1178,        3D,    18.900,     1.350,     0.000,      1178        3D    18.900     1.350     0.000,
1179,19.350 ,1.350 ,0.000 ,      1179,        3D,    19.350,     1.350,     0.000,      1179        3D    19.350     1.350     0.000,
1180,19.800 ,1.350 ,0.000 ,      1180,        3D,    19.800,     1.350,     0.000,      1180        3D    19.800     1.350     0.000,
1181,0.000 ,1.800 ,0.000 ,      1181,        3D,     0.000,     1.800,     0.000,      1181        3D     0.000     1.800     0.000,
1182,0.450 ,1.800 ,0.000 ,      1182,        3D,     0.450,     1.800,     0.000,      1182        3D     0.450     1.800     0.000,
1183,0.900 ,1.800 ,0.000 ,      1183,        3D,     0.900,     1.800,     0.000,      1183        3D     0.900     1.800     0.000,
1184,1.350 ,1.800 ,0.000 ,      1184,        3D,     1.350,     1.800,     0.000,      1184        3D     1.350     1.800     0.000,
1185,1.800 ,1.800 ,0.000 ,      1185,        3D,     1.800,     1.800,     0.000,      1185        3D     1.800     1.800     0.000,
1186,6.000 ,1.800 ,0.000 ,      1186,        3D,     6.000,     1.800,     0.000,      1186        3D     6.000     1.800     0.000,
1187,6.450 ,1.800 ,0.000 ,      1187,        3D,     6.450,     1.800,     0.000,      1187        3D     6.450     1.800     0.000,
1188,6.900 ,1.800 ,0.000 ,      1188,        3D,     6.900,     1.800,     0.000,      1188        3D     6.900     1.800     0.000,
1189,7.350 ,1.800 ,0.000 ,      1189,        3D,     7.350,     1.800,     0.000,      1189        3D     7.350     1.800     0.000,
1190,7.800 ,1.800 ,0.000 ,      1190,        3D,     7.800,     1.800,     0.000,      1190        3D     7.800     1.800     0.000,
1191,12.000 ,1.800 ,0.000 ,      1191,        3D,    12.000,     1.800,     0.000,      1191        3D    12.000     1.800     0.000,
1192,12.450 ,1.800 ,0.000 ,      1192,        3D,    12.450,     1.800,     0.000,      1192        3D    12.450     1.800     0.000,
1193,12.900 ,1.800 ,0.000 ,      1193,        3D,    12.900,     1.800,     0.000,      1193        3D    12.900     1.800     0.000,
1194,13.350 ,1.800 ,0.000 ,      1194,        3D,    13.350,     1.800,     0.000,      1194        3D    13.350     1.800     0.000,
1195,13.800 ,1.800 ,0.000 ,      1195,        3D,    13.800,     1.800,     0.000,      1195        3D    13.800     1.800     0.000,
1196,18.000 ,1.800 ,0.000 ,      1196,        3D,    18.000,     1.800,     0.000,      1196        3D    18.000     1.800     0.000,
1197,18.450 ,1.800 ,0.000 ,      1197,        3D,    18.450,     1.800,     0.000,      1197        3D    18.450     1.800     0.000,
1198,18.900 ,1.800 ,0.000 ,      1198,        3D,    18.900,     1.800,     0.000,      1198        3D    18.900     1.800     0.000,
